displayLabel|County|avgIncome:float|error:float|stateCounty
United States - California - Imperial County|Imperial County|38685|1312|CA-Imperial County
United States - California - Inyo County|Inyo County|44808|3693|CA-Inyo County
United States - California - Kern County|Kern County|47089|691|CA-Kern County
United States - California - Kings County|Kings County|48684|1892|CA-Kings County
United States - California - Lake County|Lake County|39491|1615|CA-Lake County
United States - California - Lassen County|Lassen County|50317|4275|CA-Lassen County
United States - California - Los Angeles County|Los Angeles County|55476|234|CA-Los Angeles County
United States - California - Madera County|Madera County|46039|1652|CA-Madera County
United States - California - Marin County|Marin County|89268|1957|CA-Marin County
United States - California - Mariposa County|Mariposa County|49098|5838|CA-Mariposa County
United States - California - Mendocino County|Mendocino County|43759|1346|CA-Mendocino County
United States - California - Merced County|Merced County|43844|1566|CA-Merced County
United States - California - Modoc County|Modoc County|34588|2797|CA-Modoc County
United States - California - Mono County|Mono County|55087|7461|CA-Mono County
United States - California - Monterey County|Monterey County|59271|1270|CA-Monterey County
United States - California - Napa County|Napa County|67389|2141|CA-Napa County
United States - California - Nevada County|Nevada County|57121|1881|CA-Nevada County
United States - California - Orange County|Orange County|74344|498|CA-Orange County
United States - California - Placer County|Placer County|74447|1226|CA-Placer County
United States - California - Plumas County|Plumas County|44000|2761|CA-Plumas County
United States - California - Riverside County|Riverside County|57768|598|CA-Riverside County
United States - California - Sacramento County|Sacramento County|56439|590|CA-Sacramento County
United States - California - San Benito County|San Benito County|65771|2445|CA-San Benito County
United States - California - San Bernardino County|San Bernardino County|55845|482|CA-San Bernardino County
United States - California - San Diego County|San Diego County|63069|464|CA-San Diego County
United States - California - San Francisco County|San Francisco County|71304|899|CA-San Francisco County
United States - California - San Joaquin County|San Joaquin County|54341|909|CA-San Joaquin County
United States - California - San Luis Obispo County|San Luis Obispo County|57365|1444|CA-San Luis Obispo County
United States - California - San Mateo County|San Mateo County|85648|877|CA-San Mateo County
United States - California - Santa Barbara County|Santa Barbara County|60078|1101|CA-Santa Barbara County
United States - California - Santa Clara County|Santa Clara County|86850|730|CA-Santa Clara County
United States - California - Santa Cruz County|Santa Cruz County|65253|1187|CA-Santa Cruz County
United States - California - Shasta County|Shasta County|43944|1009|CA-Shasta County
United States - California - Sierra County|Sierra County|52950|11434|CA-Sierra County
United States - California - Siskiyou County|Siskiyou County|36981|1402|CA-Siskiyou County
United States - California - Solano County|Solano County|68409|1175|CA-Solano County
United States - California - Sonoma County|Sonoma County|63274|1032|CA-Sonoma County
United States - California - Stanislaus County|Stanislaus County|51094|771|CA-Stanislaus County
United States - California - Sutter County|Sutter County|50944|1785|CA-Sutter County
United States - California - Tehama County|Tehama County|38137|1107|CA-Tehama County
United States - California - Trinity County|Trinity County|38725|4735|CA-Trinity County
United States - California - Tulare County|Tulare County|43851|860|CA-Tulare County
United States - California - Tuolumne County|Tuolumne County|47462|2518|CA-Tuolumne County
United States - California - Ventura County|Ventura County|75348|951|CA-Ventura County
United States - California - Yolo County|Yolo County|57077|1608|CA-Yolo County
United States - California - Yuba County|Yuba County|46807|2824|CA-Yuba County
United States - Colorado|Colorado|56456|309|-Colorado
United States - Colorado - Adams County|Adams County|54666|666|CO-Adams County
United States - Colorado - Alamosa County|Alamosa County|35935|2663|CO-Alamosa County
United States - Colorado - Arapahoe County|Arapahoe County|58719|765|CO-Arapahoe County
United States - Colorado - Archuleta County|Archuleta County|56068|8196|CO-Archuleta County
United States - Colorado - Baca County|Baca County|36017|2974|CO-Baca County
United States - Colorado - Bent County|Bent County|36412|4029|CO-Bent County
United States - Colorado - Boulder County|Boulder County|64839|1281|CO-Boulder County
United States - Colorado - Broomfield County|Broomfield County|75590|3020|CO-Broomfield County
United States - Colorado - Chaffee County|Chaffee County|42941|3390|CO-Chaffee County
United States - Colorado - Cheyenne County|Cheyenne County|47125|9810|CO-Cheyenne County
United States - Colorado - Clear Creek County|Clear Creek County|60426|3876|CO-Clear Creek County
United States - Colorado - Conejos County|Conejos County|33627|2245|CO-Conejos County
United States - Colorado - Costilla County|Costilla County|24388|4494|CO-Costilla County
United States - Colorado - Crowley County|Crowley County|38189|5852|CO-Crowley County
United States - Colorado - Custer County|Custer County|39909|8354|CO-Custer County
United States - Colorado - Delta County|Delta County|40451|1576|CO-Delta County
United States - Colorado - Denver County|Denver County|45501|711|CO-Denver County
United States - Colorado - Dolores County|Dolores County|43058|5318|CO-Dolores County
United States - Colorado - Douglas County|Douglas County|99198|1710|CO-Douglas County
United States - Colorado - Eagle County|Eagle County|71337|3734|CO-Eagle County
United States - Colorado - Elbert County|Elbert County|78958|4521|CO-Elbert County
United States - Colorado - El Paso County|El Paso County|56268|680|CO-El Paso County
United States - Colorado - Fremont County|Fremont County|37847|2026|CO-Fremont County
United States - Colorado - Garfield County|Garfield County|64902|3051|CO-Garfield County
United States - Colorado - Gilpin County|Gilpin County|58036|5859|CO-Gilpin County
United States - Colorado - Grand County|Grand County|60433|3396|CO-Grand County
United States - Colorado - Gunnison County|Gunnison County|49356|4672|CO-Gunnison County
United States - Colorado - Hinsdale County|Hinsdale County|74659|34128|CO-Hinsdale County
United States - Colorado - Huerfano County|Huerfano County|30058|4880|CO-Huerfano County
United States - Colorado - Jackson County|Jackson County|37222|8483|CO-Jackson County
United States - Colorado - Jefferson County|Jefferson County|66075|598|CO-Jefferson County
United States - Colorado - Kiowa County|Kiowa County|40089|5763|CO-Kiowa County
United States - Colorado - Kit Carson County|Kit Carson County|41678|6174|CO-Kit Carson County
United States - Colorado - Lake County|Lake County|41103|3201|CO-Lake County
United States - Colorado - La Plata County|La Plata County|56422|1984|CO-La Plata County
United States - Colorado - Larimer County|Larimer County|56447|1152|CO-Larimer County
United States - Colorado - Las Animas County|Las Animas County|38134|2833|CO-Las Animas County
United States - Colorado - Lincoln County|Lincoln County|41616|3517|CO-Lincoln County
United States - Colorado - Logan County|Logan County|40961|2888|CO-Logan County
United States - Colorado - Mesa County|Mesa County|52067|1262|CO-Mesa County
United States - Colorado - Mineral County|Mineral County|53438|5133|CO-Mineral County
United States - Colorado - Moffat County|Moffat County|53587|5142|CO-Moffat County
United States - Colorado - Montezuma County|Montezuma County|44103|2548|CO-Montezuma County
United States - Colorado - Montrose County|Montrose County|46590|1888|CO-Montrose County
United States - Colorado - Morgan County|Morgan County|43111|2847|CO-Morgan County
United States - Colorado - Otero County|Otero County|34142|2258|CO-Otero County
United States - Colorado - Ouray County|Ouray County|58393|7207|CO-Ouray County
United States - Colorado - Park County|Park County|64098|4248|CO-Park County
United States - Colorado - Phillips County|Phillips County|44084|2605|CO-Phillips County
United States - Colorado - Pitkin County|Pitkin County|64502|6966|CO-Pitkin County
United States - Colorado - Prowers County|Prowers County|33969|3177|CO-Prowers County
United States - Colorado - Pueblo County|Pueblo County|40699|1035|CO-Pueblo County
United States - Colorado - Rio Blanco County|Rio Blanco County|57992|7388|CO-Rio Blanco County
United States - Colorado - Rio Grande County|Rio Grande County|39871|4535|CO-Rio Grande County
United States - Colorado - Routt County|Routt County|60876|3831|CO-Routt County
United States - Colorado - Saguache County|Saguache County|30430|3756|CO-Saguache County
United States - Colorado - San Juan County|San Juan County|43783|5649|CO-San Juan County
United States - Colorado - San Miguel County|San Miguel County|66399|6190|CO-San Miguel County
